برلين ترفض حصول شركة اميركية على رخصة تصنيع دبابة " ليوبارد " الالمانية	X VERB NOUN NOUN ADJ ADP NOUN NOUN NOUN PUNCT X PUNCT ADJ
واستمرت و استمرت المواجهات حتى يوم الجمعة عندما تمكنت الشرطة من فرض النظام مجددا .	_ CCONJ VERB NOUN ADP NOUN NOUN CCONJ VERB NOUN ADP NOUN NOUN ADJ PUNCT
ولم و لم يتم اعتقال احد بحسب ب حسب المتحدث باسم ب اسم الشرطة .	_ CCONJ PART VERB NOUN NOUN _ ADP ADP NOUN _ ADP NOUN NOUN PUNCT
هذا اليوم في التاريخ 16 تموز / يوليو	DET NOUN ADP NOUN NUM NOUN PUNCT NOUN
1945 - الولايات المتحدة تقوم باختبار ب اختبار اول قنبلة نووية في نيومكسيكو .	NUM PUNCT NOUN ADJ VERB _ ADP NOUN ADJ NOUN ADJ ADP X PUNCT
1948 - الحرب العربية الاسرائيلية : مجلس الامن الدولي يتبنى مشروع قرار اميركي يرى في الحرب " خطرا على السلام العالمي ويدعو و يدعو الى وقف القتال خلال ثلاثة ايام تحت طائلة فرض عقوبات اقتصادية وعسكرية و عسكرية على من يخالف ذلك " .	NUM PUNCT NOUN ADJ ADJ PUNCT NOUN NOUN ADJ VERB NOUN NOUN ADJ VERB ADP NOUN PUNCT NOUN ADP NOUN ADJ _ CCONJ VERB ADP NOUN NOUN ADP NUM NOUN ADP NOUN NOUN NOUN ADJ _ CCONJ ADJ ADP DET VERB DET PUNCT PUNCT
1951 - بلجيكا : الملك ليوبولد الثاني يتنازل عن العرش لابنه ل ابن ه بودوان بعد حركة شعبية واسعة طالبت بعزله ب عزل ه .	NUM PUNCT X PUNCT NOUN X ADJ VERB ADP NOUN _ ADP NOUN PRON X ADP NOUN ADJ ADJ VERB _ ADP NOUN PRON PUNCT
1955 - الرئيس السوري الاسبق شكري القوتلي يعود الى سوريا بعد ان امضى في منفاه منفى ه في مصر ست سنوات .	NUM PUNCT NOUN ADJ ADJ X X VERB ADP X ADP SCONJ VERB ADP _ NOUN PRON ADP NOUN NUM NOUN PUNCT
1965 - الاتحاد السوفياتي يطلق خمسة اقمار اصطناعية " كوسموس " على متن صاروخ فضائي واحد .	NUM PUNCT NOUN ADJ VERB NUM NOUN ADJ PUNCT X PUNCT ADP NOUN NOUN ADJ ADJ PUNCT
1979 - نائب رئيس مجلس قيادة الثورة في العراق صدام حسين يصبح رئيسا للدولة ل الدولة بعد غياب حسن البكر عن الساحة السياسية .	NUM PUNCT NOUN NOUN NOUN NOUN NOUN ADP NOUN X X VERB NOUN _ ADP NOUN ADP NOUN X X ADP NOUN ADJ PUNCT
1985 - وفاة الكاتب الالماني هاينريش بول .	NUM PUNCT NOUN NOUN ADJ X X PUNCT
1989 - وفاة قائد الاوكسترا هيربرت فون كارايان .	NUM PUNCT NOUN NOUN X X X X PUNCT
1995 - وزير الخارجية السعودي الامير سعود الفيصل يعلن تطبيع العلاقات الدبلوماسية بين السعودية والاردن و الأردن بعد قطيعة دامت خمس سنوات .	NUM PUNCT NOUN NOUN ADJ NOUN X X VERB NOUN NOUN ADJ ADP NOUN _ CCONJ NOUN ADP NOUN VERB NUM NOUN PUNCT
1995 - اقالة وزير الدفاع العراقي علي حسن المجيد من منصبه منصب ه وتكليفه و تكليف ه مهام في حزب البعث الحاكم .	NUM PUNCT NOUN NOUN NOUN ADJ X X X ADP _ NOUN PRON _ CCONJ NOUN PRON NOUN ADP NOUN X ADJ PUNCT
1995 - العراق يفرج عن اثنين من الاميركيين بعد سجنهما سجن هما 113 يوما بتهمة ب تهمة عبور الحدود العراقية الكويتية بطريقة ب طريقة غير شرعية .	NUM PUNCT NOUN VERB ADP NUM ADP NOUN ADP _ NOUN PRON NUM NOUN _ ADP NOUN NOUN NOUN ADJ ADJ _ ADP NOUN NOUN ADJ PUNCT
هذا اليوم في التاريخ 17 تموز / يوليو	DET NOUN ADP NOUN NUM NOUN PUNCT NOUN
1913 - مولد الكاتب والفيلسوف و الفيلسوف الفرنسي روجيه غارودي .	NUM PUNCT NOUN NOUN _ CCONJ NOUN ADJ X X PUNCT
1918 - الثورة البلشفية تعدم قيصر روسيا نيكةلاس اتلثاني وافراد و أفراد عائلته عائلة ه .	NUM PUNCT NOUN ADJ VERB NOUN X X X _ CCONJ NOUN _ NOUN PRON PUNCT
1945 - افتتاح مؤتمر بوتسدام بين قادة الاتحاد السوفياتي وبريطانيا و بريطانيا والولايات و الولايات المتحدة الذي رسم حدود الدول الاوروبية بعد الحرب العالمية الثانية .	NUM PUNCT NOUN NOUN X ADP NOUN NOUN ADJ _ CCONJ X _ CCONJ NOUN ADJ DET VERB NOUN NOUN ADJ ADP NOUN ADJ ADJ PUNCT
1951 - اغتيال رياض الصلح في عمان على يد ثلاثة من اعضاء الحزب القومي السوري الاجتماعي ردا على اعدام مؤسس وزعيم و زعيم الحزب انطون سعادة في 1949 .	NUM PUNCT NOUN X X ADP NOUN ADP NOUN NUM ADP NOUN NOUN ADJ ADJ ADJ NOUN ADP NOUN ADJ _ CCONJ NOUN NOUN X X ADP NUM PUNCT
1958 - اثر سقوط النظام الملكي الهاشمي في العراق ، وصلت قوات بريطانية الى الاردن بطلب ب طلب من الملك حسين .	NUM PUNCT ADP NOUN NOUN ADJ ADJ ADP NOUN PUNCT VERB NOUN ADJ ADP NOUN _ ADP NOUN ADP NOUN X PUNCT
1968 - انقلاب عسكري في العراق يطيح نظام عبد الرحمن عارف ومجلس و مجلس قيادة الثورة يختار احمد حسن البكر رئيسا للجمهورية ل الجمهورية .	NUM PUNCT NOUN ADJ ADP NOUN VERB NOUN X X X _ CCONJ NOUN NOUN NOUN VERB X X X NOUN _ ADP NOUN PUNCT
1971 - العاهل الاردني الملك حسين يلغي الاتفاقات التي تسمح للتنظيمات ل التنظيمات الفلسطينية باقامة ب إقامة قواعد لها ل ها في الاردن .	NUM PUNCT NOUN ADJ NOUN X VERB NOUN DET VERB _ ADP NOUN ADJ _ ADP NOUN NOUN _ ADP PRON ADP NOUN PUNCT
1973 - توقيع " ميثاق للعمل ل العمل الوطني " بين حزب البعث الحاكم في العراق والحزب و الحزب الشيوعي العراقي .	NUM PUNCT NOUN PUNCT NOUN _ ADP NOUN ADJ PUNCT ADP NOUN X ADJ ADP NOUN _ CCONJ NOUN ADJ ADJ PUNCT
1979 - نيكاراغوا : الجنرال سوموزا يتخلى عن الحكم بعد معارك استمرت خمسة اسابيع ضد الساندينيين واسفرت و أسفرت عن مقتل حوالي 40 الف مدني .	NUM PUNCT X PUNCT NOUN X VERB ADP NOUN ADP NOUN VERB NUM NOUN ADP ADJ _ CCONJ VERB ADP NOUN ADP NUM NUM ADJ PUNCT
1987 - قطع العلاقات الدبلوماسية بين فرنسا وايران و إيران اثر رفض مترجم السفارة الايرانية في باريس وحيد غورجي المثول امام القضاء في اطار التحقيق في اعتداءات وقعت في 1986 في باريس .	NUM PUNCT NOUN NOUN ADJ ADP X _ CCONJ NOUN ADP NOUN NOUN NOUN ADJ ADP X X X NOUN ADP NOUN ADP NOUN NOUN ADP NOUN VERB ADP NUM ADP X PUNCT
1998 - الاسد في باريس للمرة ل المرة الاولى منذ 22 عاما والزيارة و الزيارة استغرقت ثلاثة ايام . وفي و في اليوم ذاته ذات ه ، زارت بارجتان بريطانيتان لاول ل أول مرة منذ 48 عاما ، مرفأ اللاذقية السوري .	NUM PUNCT X ADP X _ ADP NOUN ADJ ADP NUM NOUN _ CCONJ NOUN VERB NUM NOUN PUNCT _ CCONJ ADP NOUN _ NOUN PRON PUNCT VERB NOUN ADJ _ ADP ADJ NOUN ADP NUM NOUN PUNCT X NOUN ADJ PUNCT
1998 - صنعاء تتهم الرياض باحتلال ب احتلال مناطق حدودية . السعوديون اكدوا في 21 من الشهر ذاته ذات ه حصول " حوادث " ادت الى مقتل ثلاثة يمنيين واصابة و إصابة تسعة آخرين بجروح ب جروح . وفي و في 27 من الشهر نفسه نفس ه ، تفاهم البلدان على اجراءات لمنع ل منع تكرار مثل هذه الحوادث .	NUM PUNCT NOUN VERB NOUN _ ADP NOUN NOUN ADJ PUNCT NOUN VERB ADP NUM ADP NOUN _ NOUN PRON NOUN PUNCT NOUN PUNCT VERB ADP NOUN NUM ADJ _ CCONJ NOUN NUM ADJ _ ADP NOUN PUNCT _ CCONJ ADP NUM ADP NOUN _ NOUN PRON PUNCT VERB NOUN ADP NOUN _ ADP NOUN NOUN ADP DET NOUN PUNCT
مقتل شخصين واصابة و إصابة آخر بجروح ب جروح في حرائق في بلغاريا	NOUN NOUN _ CCONJ NOUN ADJ _ ADP NOUN ADP NOUN ADP X
صوفيا 16 - 7 ( اف ب ) - اعلن بيان للمركز ل المركز الصحافي التابع للحكومة ل الحكومة البلغارية ان رجلين قتلا واصيب و أصيب شخص آخر بجروح ب جروح خطرة امس السبت في حرائق اندلعت في الايام الاخيرة في بلغاريا .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN _ ADP NOUN ADJ ADJ _ ADP NOUN ADJ SCONJ NOUN VERB _ CCONJ VERB NOUN ADJ _ ADP NOUN ADJ ADV NOUN ADP NOUN VERB ADP NOUN ADJ ADP X PUNCT
واوضح و أوضح المصدر ان دينتشو دينيف ( 72 عاما ) التهمته التهمت ه النيران حيا ليل الجمعة السبت في منزله منزل ه في بلدة دراغانوفو في منطقة ترنوفو ( شمال شرق ) .	_ CCONJ VERB NOUN SCONJ X X PUNCT NUM NOUN PUNCT _ VERB PRON NOUN ADJ NOUN NOUN NOUN ADP _ NOUN PRON ADP NOUN X ADP NOUN X PUNCT NOUN NOUN PUNCT PUNCT
وتوفي و توفي ديانكو ديانكوف ( 66 عاما ) ليل الجمعة السبت في مستشفى مدينة بورغاس ( جنوب شرق ) متاثرا بجروحه ب جروح ه التي غطت 90 % من جسده جسد ه اثر حريق اندلع الخميس في منطقة هاسكوفو ( جنوب ) .	_ CCONJ VERB X X PUNCT NUM NOUN PUNCT NOUN NOUN NOUN ADP X NOUN X PUNCT NOUN NOUN PUNCT ADJ _ ADP NOUN PRON DET VERB NUM SYM ADP _ NOUN PRON ADP NOUN VERB NOUN ADP NOUN X PUNCT NOUN PUNCT PUNCT
وكان و كان شخص آخر ، اتاناس يانف ( 54 عاما ) يصارع امس السبت الموت في مستشفى بورغاس ايضا اثر اصابته إصابة ه الخميس بحروق ب حروق بليغة .	_ CCONJ VERB NOUN ADJ PUNCT X X PUNCT NUM NOUN PUNCT VERB ADV NOUN NOUN ADP X X ADV ADP _ NOUN PRON NOUN _ ADP NOUN ADJ PUNCT
وكانت و كانت ست حرائق لا تزال مشتعلة امس السبت في وسط جنوبي وجنوب و جنوب شرقي البلاد .	_ CCONJ VERB NUM NOUN PART VERB ADJ ADV NOUN ADP NOUN ADJ _ CCONJ NOUN ADJ NOUN PUNCT
وقال و قال الكسندر براماتارسكي ، وزير الحالات الطارئة " ان الوضع يعود الى طبيعته طبيعة ه ولكن و لٰكن من غير المستبعد ان تنشب حرائق اخرى " .	_ CCONJ VERB X X PUNCT NOUN NOUN ADJ PUNCT SCONJ NOUN VERB ADP _ NOUN PRON _ CCONJ CCONJ ADP NOUN ADJ SCONJ VERB NOUN ADJ PUNCT PUNCT
وشارك و شارك 1200 رجل من رجال الاطفاء والف و ألف جندي و 150 متطوعا من الدفاع المدني اول من امس الجمعة في مكافحة الحرائق في البلاد .	_ CCONJ VERB NUM NOUN ADP NOUN NOUN _ CCONJ NUM NOUN CCONJ NUM NOUN ADP NOUN ADJ X ADP ADV NOUN ADP NOUN NOUN ADP NOUN PUNCT
الولايات المتحدة تريد تكثيف وتيرة المفاوضات في كامب ديفيد	NOUN ADJ VERB NOUN NOUN NOUN ADP X X
ثورمونت ( الولايات المتحدة ) 16 - 7 ( اف ب ) - اعلنت الولايات المتحدة مساء امس السبت عزمها عزم ها على تكثيف وتيرة مفاوضات السلام الاسرائيلية الفلسطينية في قمة كامب ديفيد في محاولة للتوصل ل التوصل الى اتفاق حول الملفات الكبرى للحل ل الحل النهائي للنزاع ل النزاع قبل مغادرة الرئيس بيل كلينتون الى قمة مجموعة الثماني الاربعاء المقبل .	X PUNCT NOUN ADJ PUNCT NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN ADJ NOUN ADV NOUN _ NOUN PRON ADP NOUN NOUN NOUN NOUN ADJ ADJ ADP NOUN X X ADP NOUN _ ADP NOUN ADP NOUN ADP NOUN ADJ _ ADP NOUN ADJ _ ADP NOUN ADP NOUN NOUN X X ADP NOUN NOUN NUM NOUN ADJ PUNCT
وقال و قال احد المتحدثين باسم ب اسم البيت الابيض بي جي كراولي " اعتقد باننا ب أن نا سنسعى س نسعى الى تكثيف هذه المحادثات فيما نصل الى اليوم السادس من القمة " .	_ CCONJ VERB NOUN NOUN _ ADP NOUN NOUN ADJ X X X PUNCT VERB _ ADP SCONJ PRON _ AUX VERB ADP NOUN DET NOUN CCONJ VERB ADP NOUN ADJ ADP NOUN PUNCT PUNCT
واضاف و أضاف " لا نزال نرغب في التوصل الى اتفاق حول المسائل التي تشكل صلب الوضع النهائي ( للاراضي ل الأراضي الفلسطينية ) قبل توجه الرئيس الى طوكيو " .	_ CCONJ VERB PUNCT PART X X ADP NOUN ADP NOUN ADP NOUN DET VERB NOUN NOUN ADJ PUNCT _ ADP NOUN ADJ PUNCT ADP NOUN NOUN ADP X PUNCT PUNCT
وقرر و قرر الرئيس الاميركي ان يغادر الاربعاء صباحا الولايات المتحدة للمشاركة ل المشاركة في آخر قمة له ل ه لمجموعة ل مجموعة الثماني ( الدول الصناعية الكبرى السبع وروسيا و روسيا ) التي ستجرى س تجري في جزيرة اوكيناوا وسيعود و س يعود الى واشنطن الاحد في 23 الجاري . وسيجري و س يجري على هامش القمة محادثات ثنائية مع الرئيس الروسي فلاديمير بوتين .	_ CCONJ VERB NOUN ADJ SCONJ VERB NOUN NOUN NOUN ADJ _ ADP NOUN ADP ADJ NOUN _ ADP PRON _ ADP NOUN NUM PUNCT NOUN ADJ ADJ NUM _ CCONJ X PUNCT DET _ AUX VERB ADP NOUN X _ CCONJ AUX VERB ADP X NOUN ADP NUM ADJ PUNCT _ CCONJ AUX VERB ADP NOUN NOUN NOUN ADJ ADP NOUN ADJ X X PUNCT
وكان و كان المتحدث الاميركي اشار امس الى ان محادثات قمة كامب ديفيد اتسمت بطابع ب طابع اقل رسمية من الايام السابقة بسبب ب سبب العطلة الاسبوعية لدى اليهود .	_ CCONJ VERB NOUN ADJ VERB ADV ADP SCONJ NOUN NOUN X X VERB _ ADP NOUN ADJ ADJ ADP NOUN ADJ _ ADP NOUN NOUN ADJ ADP ADJ PUNCT
دراسة : العنف المنزلي في الولايات المتحدة يطال 25 % من النساء و 7،5 من الرجال	NOUN PUNCT NOUN ADJ ADP NOUN ADJ VERB NUM SYM ADP NOUN CCONJ NUM ADP NOUN
واشنطن 16 - 7 ( اف ب ) - افادت دراسة نشرها نشر ها امس السبت المعهد الوطني للعدالة ل العدالة ان العنف المنزلي في الولايات المتحدة يطال ربع النساء تقريبا خلال حياتهم حياة هم .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN _ VERB PRON ADV NOUN NOUN ADJ _ ADP NOUN SCONJ NOUN ADJ ADP NOUN ADJ VERB NOUN NOUN NOUN ADP _ NOUN PRON PUNCT
واوضحت و أوضحت هذه الدراسة التي اجريت لدى ثمانية الاف امرأة وثمانية و ثمانية الاف رجل ، ان نحو 25 % من النساء و 7،5 % من الرجال يتعرضون مرة واحدة في حياتهم حياة هم للاغتصاب ل الاغتصاب او الاعتداء الجسدي من قبل الزوج ( الحالي او السابق ) او الشريك الجنسي .	_ CCONJ VERB DET NOUN DET VERB ADP NUM NUM NOUN _ CCONJ NUM NUM NOUN PUNCT SCONJ ADP NUM SYM ADP NOUN CCONJ NUM SYM ADP NOUN VERB NOUN ADJ ADP _ NOUN PRON _ ADP NOUN CCONJ NOUN ADJ ADP NOUN NOUN PUNCT ADJ CCONJ ADJ PUNCT CCONJ NOUN ADJ PUNCT
وذكر و ذكر المعهد الوطني للعدالة ل العدالة ان قرابة 1،5 % من النساء و 0،9 % من الرجال الذين شملتهم شملت هم الدراسة ، اي ما يساوي 1،5 مليون امرأة و 834732 رجلا من مجمل السكان ، تعرضوا لهذا ل هٰذا النوع من العنف خلال الاشهر 12 التي سبقت التحقيق .	_ CCONJ VERB NOUN ADJ _ ADP NOUN SCONJ ADP NUM SYM ADP NOUN CCONJ NUM SYM ADP NOUN DET _ VERB PRON NOUN PUNCT CCONJ DET VERB NUM NUM NOUN CCONJ NUM NOUN ADP NOUN NOUN PUNCT VERB _ ADP DET NOUN ADP NOUN ADP NOUN NUM DET VERB NOUN PUNCT
ومن و من جهة اخرى ، هناك ضحايا يتعرضون لاعمال ل أعمال عنف مرات عدة في السنة ، فالنساء ف النساء يتعرضن لمثل ل مثل هذه الاعمال 4،9 ملايين مرة تقريبا والرجال و الرجال يتعرضن 2،9 مليون مرة في السنة .	_ CCONJ ADP NOUN ADJ PUNCT ADV NOUN VERB _ ADP NOUN NOUN NOUN NOUN ADP NOUN PUNCT _ CCONJ NOUN VERB _ ADP ADP DET NOUN NUM NUM NOUN NOUN _ CCONJ NOUN VERB NUM NUM NOUN ADP NOUN PUNCT
واخيرا و أخيرا اشارت الدراسة الى ان 41،5 % من النساء اللواتي يتعرضن للعنف ل العنف الجسدي من قبل شريك حميم ، اصبن بجروح ب جروح خلال تعرضهن تعرض هن للاعتداء ل الاعتداء الاخير مقابل 19،9 % للرجال ل الرجال .	_ CCONJ ADJ VERB NOUN ADP SCONJ NUM SYM ADP NOUN DET VERB _ ADP NOUN ADJ ADP ADP NOUN NOUN PUNCT VERB _ ADP NOUN ADP _ NOUN PRON _ ADP NOUN ADJ ADP NUM SYM _ ADP NOUN PUNCT
العثور على جثة تاسعة في مخيم منكوب باعصار ب إعصار اجتاحا البرتا	NOUN ADP NOUN ADJ ADP NOUN ADJ _ ADP NOUN X X
باين لايك ( كندا ) 16 - 7 ( اف ب ) - اعلنت الشرطة الملكية في كندا العثور على جثة تاسعة في مخيم اجتاحه اجتاح ه اعصار في باين لايك في البرتا ( غرب ) وادى و أدى ايضا الى اصابة اكثر من 200 شخص بجروح ب جروح .	X X PUNCT X PUNCT NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN ADJ ADP X NOUN ADP NOUN ADJ ADP NOUN _ VERB PRON NOUN ADP X X ADP X PUNCT X PUNCT _ CCONJ VERB ADV ADP NOUN ADJ ADP NUM NOUN _ ADP NOUN PUNCT
وتخشى و تخشى السلطات من ارتفاع عدد الضحايا اذ ان رجال الاسعاف الذين ارسلوا الى مكان الكارثة وعددهم و عدد هم يزيد عن المائة ، لم يتمكنوا عند منتصف النهار امس الا من تمشيط ربع المخيم بحثا عن الضحايا بين الانقاض .	_ CCONJ VERB NOUN ADP NOUN NOUN NOUN CCONJ SCONJ NOUN NOUN DET VERB ADP NOUN NOUN _ CCONJ NOUN PRON VERB ADP NUM PUNCT PART VERB ADP NOUN NOUN ADV PART ADP NOUN NOUN NOUN NOUN ADP NOUN ADP NOUN PUNCT
وكان و كان رجال الانقاذ وبينهم و بين هم غطاسون ، لا يزالون يبحثون في بحيرة قرب المخيم اذ ان عددا من الاشخاص كانوا يبحرون فيها في ها على متن الزوارق اثناء العاصفة . وقال و قال عنصر من الشرطة الملكية الكندية ، باتريك ويب " ان الابحاث مستمرة " .	_ CCONJ VERB NOUN NOUN _ CCONJ ADP PRON X PUNCT PART VERB VERB ADP NOUN ADP NOUN CCONJ SCONJ NOUN ADP NOUN VERB VERB _ ADP PRON ADP NOUN X ADP NOUN PUNCT _ CCONJ VERB NOUN ADP NOUN ADJ ADJ PUNCT X X PUNCT PART NOUN ADJ PUNCT PUNCT
وبين و بين الجرحى ، اعتبر 16 انهم أن هم في حال خطرة .	_ CCONJ ADP NOUN PUNCT VERB NUM _ SCONJ PRON ADP NOUN ADJ PUNCT
الجمارك البلغارية تضبط نحو 40 كيلوغراما من الهيرويين	NOUN ADJ VERB ADP NUM X ADP X
صوفيا 16 - 7 ( اف ب ) - ضبط رجال الجمارك البلغارية امس السبت في مركز " كابيتان اندرييفو " على الحدود البلغارية التركية ، على 39،56 كيلوغراما من الهيرويين ، كما اعلن متحدث باسم ب اسم الجمارك .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN NOUN ADJ ADV NOUN ADP NOUN PUNCT X X PUNCT ADP NOUN ADJ ADJ PUNCT ADP NUM X ADP X PUNCT CCONJ VERB NOUN _ ADP NOUN NOUN PUNCT
وعثر و عثر على هذه المخدرات التي قدرت قيمتها قيمة ها ب 4،3 ملايين يورو ، في باص كان قادما من تركيا ومتوجها و متوجها الى البانيا .	_ CCONJ VERB ADP DET NOUN DET VERB _ NOUN PRON ADP NUM NUM X PUNCT ADP NOUN VERB ADJ ADP X _ CCONJ ADJ ADP X PUNCT
واوضح و أوضح المتحدث باسم ب اسم قيادة الجمارك البلغارية ايفان كوتيفسكي ، ان الهيرويين كانت في 76 علبة موضوعة في مخبأ اعد في سقف الباص .	_ CCONJ VERB NOUN _ ADP NOUN NOUN NOUN ADJ X X PUNCT SCONJ X VERB ADP NUM NOUN ADJ ADP X VERB ADP NOUN NOUN PUNCT
واشار و أشار المصدر نفسه نفس ه الى ان سائقي الباص الثلاثة وهم و هم مواطنان تركيان ومقدوني و مقدوني ، اوقفوا وتم و تم فتح تحقيق .	_ CCONJ VERB NOUN _ NOUN PRON ADP SCONJ NOUN NOUN NUM _ CCONJ PRON NOUN ADJ _ CCONJ NOUN PUNCT VERB _ CCONJ VERB NOUN NOUN PUNCT
ومنذ و منذ مطلع هذا العام ، ضبط على 775،56 كيلوغراما من الهيرويين في مركز كابيتان اندرييفو الحدودي .	_ CCONJ ADP NOUN DET NOUN PUNCT VERB ADP NUM X ADP X ADP NOUN X X ADJ PUNCT
خلاف بين لندن وبكين و بكين حول التحقيق في قضية الضحايا المهاجرين	NOUN ADP X _ CCONJ X ADP NOUN ADP NOUN NOUN NOUN
